1900,52474
1901,55376
1902,56417
1903,54355
1904,72972
1905,70834
1906,74870
1907,78727
1908,89582
1909,91882
1910,95160
1911,102582
1912,109141
1913,113620
1914,114946
1915,116591
1916,120180
1917,124604
1918,125384
1919,126302
1920,124117
1921,131595
1922,130609
1923,135459
1924,138920
1925,144463
1926,148485
1927,160169
1928,169985
1929,174952
1930,178264
1931,177774
1932,178162
1933,181789
1934,184125
1935,191644
1936,195271
1937,203616
1938,209651
1939,214409
1940,218846
1941,220833
1942,218422
1943,218422
1944,220981
1945,222102
1946,221455
1947,223049
1948,226522
1949,238792
1950,249393
1951,256911
1952,262866
1953,269707
1954,275242
1955,282954
1956,295032
1957,301596
1958,310226
1959,313891
1960,0
1961,0
1962,0
1963,0
1964,349151
1965,359285
1966,364325
1967,370468
1968,388046
1969,361702
1970,347611
1971,347746
1972,344598
1973,340154
1974,331047
1975,322602
1976,322942
1977,324361
1978,324615
1979,327009
1980,331297
1981,335600
1982,343957
1983,350178
1984,350390
1985,356002
1986,352459
1987,354177
1988,351984
1989,350415
1990,346416
1991,340789
1992,338020
1993,338204
1994,337889
1995,341197
1996,345573
1997,348195
1998,349452
1999,349647
2000,359759
2001,349549
2002,353826
2003,354843
2004,355568
2005,354777
2006,353528
2007,348579
2008,324588
2009,336865
2010,330548
